angle,Nl value,match,itr
90.873,0.118,1.0,255.0
90.882,0.121,1.0,256.0
90.888,0.123,1.0,257.0
90.903,0.129,1.0,259.0
90.916,0.129,1.0,258.0
91.321,0.082,1.0,220.0
91.528,0.024,1.0,110.0
92.08,0.083,1.0,208.0
92.452,0.147,1.0,219.0
92.46,0.058,1.0,113.0
92.908,0.119,1.0,209.0
93.448,0.199,1.0,218.0
93.631,0.154,1.0,210.0
94.344,0.191,1.0,211.0
94.349,0.243,1.0,217.0
94.999,0.229,1.0,212.0
95.144,0.276,1.0,216.0
95.507,0.263,1.0,213.0
95.662,0.293,1.0,215.0
95.76,0.286,1.0,214.0
96.248,0.129,1.0,112.0
97.134,0.128,1.0,111.0
112.493,0.096,1.0,27.0
140.58,0.233,1.0,26.0
156.688,0.348,1.0,25.0
165.903,0.449,1.0,24.0
170.744,0.539,1.0,23.0
173.948,0.621,1.0,22.0
175.907,0.692,1.0,21.0
177.042,0.75,1.0,20.0
177.689,0.794,1.0,19.0
178.045,0.825,1.0,18.0
178.233,0.849,1.0,17.0
178.382,0.869,1.0,16.0
178.521,0.886,1.0,15.0
178.654,0.901,1.0,14.0
178.782,0.915,1.0,13.0
178.907,0.928,1.0,12.0
179.03,0.94,1.0,11.0
179.15,0.95,1.0,10.0
179.269,0.96,1.0,9.0
179.386,0.968,1.0,8.0
179.498,0.975,1.0,7.0
179.606,0.982,1.0,6.0
179.707,0.987,1.0,5.0
179.797,0.992,1.0,4.0
179.875,0.995,1.0,3.0
179.937,0.998,1.0,2.0
179.979,0.999,1.0,1.0
179.997,1.0,1.0,0.0
