ref_x,ref_y,ref_z,x,y,z,w,e1,e2,e3,u,v,w,p,q,r,sec,nanosec
0.0,0.0,0.0,-0.023649430106075963,-1.829354465684086,0.1400033027973776,-0.45130791834762984,-0.0005117205740945284,-0.003905343816525667,-0.8923595963895148,-0.1701296184656873,0.059606521035738935,-0.0013149725625288392,-0.006122348531789612,-0.0033455988614150556,-0.22190607123775408,1370,357000000
0.0,0.0,0.0,-0.018473105849212915,-1.8463895565235067,0.14000238183536565,-0.460696375229391,-0.0005555876159884356,-0.0035494961569073006,-0.8875505294065985,-0.16706048077007032,0.05564604597373239,-0.0006470123550713571,-0.0061968149111635284,-0.003213617537767277,-0.20353041763883084,1370,457000000
0.0,0.0,0.0,-0.013500725661964773,-1.8629761542461127,0.14000997587872074,-0.4694205077859324,-0.0005845329912302073,-0.0031983694992364625,-0.8829687512158773,-0.1628339550042282,0.051074911263509416,-0.00042903798178592166,-0.006192602131704916,-0.003072311096730118,-0.19272575009381399,1370,574000000
0.0,0.0,0.0,-0.008707897248933434,-1.878989612263619,0.140031179627437,-0.47774413956239525,-0.0005998188347147563,-0.0028524691889472227,-0.8784941893664852,-0.15776702918496666,0.04616166554241643,0.002087609817446884,-0.005813736879645148,-0.002919179542004713,-0.18646592652658,1370,666000000
0.0,0.0,0.0,-0.004997416502854241,-1.891330900899359,0.1400440113353327,-0.4841889636288287,-0.0006087190678394619,-0.0025860033390100526,-0.8749594216578661,-0.15290885285183464,0.041957977725301084,-0.0007847496096533614,-0.005764176194134052,-0.002894936937991588,-0.18191320996265858,1370,762000000
0.0,0.0,0.0,-0.0005075991889544069,-1.9060836578834592,0.14003565301953524,-0.49200945534629337,-0.0006148828096886709,-0.002259267173419999,-0.8705867064691563,-0.14611083617202963,0.0365493247514609,0.001912142281673107,-0.005590955515799578,-0.0028415641509127454,-0.1772113551851362,1370,852000000
0.0,0.0,0.0,0.0029693373654467144,-1.9172943020112596,0.14000468356583753,-0.498081122653654,-0.0006160672293445851,-0.002003817898648628,-0.8671279031556264,-0.14001933935249838,0.03212358318941781,-0.0020438979884793984,-0.0055452795095334295,-0.0027801349006040255,-0.1727694077999331,1370,937000000
0.0,0.0,0.0,0.007169114131284844,-1.9305071109398457,0.14004494625085556,-0.5054229459923679,-0.0006136615958724746,-0.0016959284091064891,-0.862869858617551,-0.13180060238658636,0.026705841656626823,-0.0005609443953196574,-0.005310736651154002,-0.002679993690435367,-0.16737959813326597,1371,35000000
0.0,0.0,0.0,0.011207471591930548,-1.9427840748983196,0.1400404462787809,-0.5124834801652158,-0.0006122405116615599,-0.0014110427373292198,-0.8586957066840955,-0.12319239807487814,0.021481544597959746,0.0020836308605993977,-0.004685061367126764,-0.0025467970999670797,-0.16164797416422516,1371,137000000
0.0,0.0,0.0,0.015085045292614922,-1.9541065597043117,0.14002584755597924,-0.5192773853052539,-0.0006091175510222473,-0.0011470667763659236,-0.8546047684890123,-0.11420538862473795,0.016481895559039818,-0.0028163981638080803,-0.004409603525346029,-0.002362715122217196,-0.15646592510165647,1371,232000000
0.0,0.0,0.0,0.018801437565216753,-1.964462935715639,0.14004650046955697,-0.5258342874687334,-0.0006037737907082172,-0.0009015385420029262,-0.8505863417712021,-0.10507938313671508,0.011845314693054767,0.0009561775564995208,-0.0040713885482546175,-0.002240510593765066,-0.15189190162345767,1371,336000000
0.0,0.0,0.0,0.022352850062930314,-1.9738523161842154,0.1400130114941399,-0.5321258461600388,-0.0006030993439674274,-0.0006844409573606364,-0.8466647811620723,-0.09582914310911719,0.007611536940814815,0.00208185103337781,-0.003409671535337111,-0.0020547726307995617,-0.14575851819245145,1371,426000000
0.0,0.0,0.0,0.02573802256642289,-1.9822826914500067,0.1400171850436162,-0.5381532486707158,-0.0005943401881513064,-0.00048061408824559516,-0.8428466626350214,-0.08652007808100243,0.003687585996972898,-0.002310052011275537,-0.003380217231097049,-0.0018039625047094887,-0.1403192218276672,1371,525000000
0.0,0.0,0.0,0.02957202844046301,-1.991145597643373,0.14007788091599463,-0.5450117415304645,-0.0005839201163936973,-0.0002727210349037051,-0.8384281640393916,-0.07536937842186113,-0.00036839588223601253,0.0006287703766141796,-0.002648362351465039,-0.0015167217156886181,-0.13267757458379492,1371,631000000
0.0,0.0,0.0,0.032572210295442265,-1.9975151857469993,0.1400617722364093,-0.5504481589729044,-0.0005762876257546619,-0.00012856138025665626,-0.8348691368399503,-0.06633392393335222,-0.0033093021362411087,-0.002214017232835354,-0.0024110943058985868,-0.0012887153957308328,-0.12790938781108707,1371,745000000
0.0,0.0,0.0,0.03539544112731244,-2.003022912457807,0.14003035266291758,-0.5556887688099745,-0.0005667851665745001,-5.154611076887115e-06,-0.8313902037830729,-0.05967969654622116,-0.004817634640512818,-0.004062367927650365,-0.00029328790667193516,-0.0009459115176468913,-0.12422464060364291,1371,838000000
0.0,0.0,0.0,0.0378973147957586,-2.0095082218514677,0.14000499962918164,-0.5607485996259367,-0.0006738861018511133,-0.0001580038839017762,-0.8279858265271485,-0.07746785221514042,0.005961157632544617,0.0016987597814059382,0.004442780436875182,0.0006392828481693869,-0.12021920992992818,1371,943000000
0.0,0.0,0.0,0.04004301580898272,-2.0180278165517,0.1400612988821062,-0.5656209539127186,-0.0007405586720845007,-0.00036035114735520743,-0.8246649369378876,-0.09482142629457843,0.015167936132174115,0.005124925297285677,0.003748483845811279,0.0016445322671643225,-0.11597909397096373,1372,41000000
0.0,0.0,0.0,0.04156402642199523,-2.0261756176903436,0.13998737934990085,-0.5693315006591806,-0.0007506558302358404,-0.0005004000582370912,-0.8221075528620154,-0.10736984194620713,0.020957491519359016,-0.0009664388525721498,0.0029183797551013413,0.002023836145781388,-0.11045325591112487,1372,141000000
0.0,0.0,0.0,0.04362644387277248,-2.0403143413315403,0.14010704084991957,-0.5745771650221311,-0.0007184344537037526,-0.0006643038103999749,-0.8184498298536776,-0.12369094263128591,0.027245924485874828,0.002799465236296406,0.0011566992952793953,0.0020962500684618135,-0.10341316592530347,1372,234000000
0.0,0.0,0.0,0.044917742708435876,-2.0507439627164583,0.14006481981853222,-0.5778487403964047,-0.000665600513377255,-0.0007210485500932028,-0.8161432902911311,-0.1316565617155491,0.029605266118665468,0.004449763265683809,0.00027660431527465335,0.001911246317831683,-0.09783925343072042,1372,342000000
0.0,0.0,0.0,0.04649847925596558,-2.0645080618289136,0.14009864506358854,-0.5817095345785126,-0.0005856614517409583,-0.0007473926672113185,-0.8133960387076613,-0.13796709456892467,0.030554680449689238,0.0028622212673082782,-0.0006476484088580037,0.001534217062726384,-0.09265437693102285,1372,435000000
0.0,0.0,0.0,0.04776806849458921,-2.0758745592225853,0.14006839310163727,-0.5846693557661355,-0.0005208800442400079,-0.0007400131772280772,-0.8112711787636049,-0.14083558700528298,0.030174520790952238,0.004621423932638686,-0.0012297625971768866,0.001099403709758917,-0.0900253035069909,1372,524000000
0.0,0.0,0.0,0.0490703573908559,-2.087357556330204,0.1399975943954447,-0.5874985796926852,-0.000448099003570726,-0.0006859041743227489,-0.8092247818757309,-0.14137215324827307,0.02866793487175342,0.001578143215485631,-0.002761560381259187,0.0004677235153849324,-0.08439296434517018,1372,606000000
0.0,0.0,0.0,0.05078297266868039,-2.1015722460537978,0.13999474507677462,-0.5907524404289595,-0.000355856992004825,-0.000558124603325729,-0.8068525986758406,-0.13948204070191197,0.0257543775645262,0.001126486727732223,-0.0032689195904822554,-0.00021298385064483227,-0.07763631583657116,1372,688000000
0.0,0.0,0.0,0.05261981856370108,-2.115363312074574,0.1400410269645996,-0.5936854656742714,-0.0002637026240210194,-0.00037589091933082667,-0.8046970591558453,-0.1348990267155255,0.02182282185261119,0.005078173558410025,-0.0042010288780147675,-0.000928163854041486,-0.06882823072373867,1372,779000000
0.0,0.0,0.0,0.05420063781617605,-2.1259245010942305,0.13999086400939093,-0.5957859868178869,-0.00020181606933041988,-0.0002073690504576977,-0.8031431841084052,-0.12982401412371836,0.018148502887260373,4.408507118375893e-05,-0.0041659131511551095,-0.001403805606514652,-0.06295298298937269,1372,883000000
0.0,0.0,0.0,0.056332426838296736,-2.138409687690392,0.1400454304768885,-0.5981867134846965,-0.00013925315731065318,1.8729083686635546e-05,-0.8013567470659726,-0.1223497069333983,0.01325839708537741,0.005319471216765527,-0.004272958085493883,-0.0018461134231984033,-0.05767788570665289,1372,967000000
0.0,0.0,0.0,0.05816677820764839,-2.1477580613942338,0.13998687319639666,-0.5999031263304149,-8.687330092662583e-05,0.00022529799266586328,-0.8000726096504231,-0.11555601272236507,0.009212179968458148,-0.0008734480377418309,-0.005105080981593346,-0.0021658759123965865,-0.05019924901716877,1373,62000000
0.0,0.0,0.0,0.06063134504148386,-2.1585404974773783,0.1400485958259591,-0.6017364231451091,-2.9356630133685785e-05,0.0004941056891202098,-0.7986945799605042,-0.1061308379753703,0.003894211563066632,0.005264990052026058,-0.004818238312509493,-0.0023996242589419126,-0.04275950377632398,1373,157000000
0.0,0.0,0.0,0.06329706776267822,-2.1682512219940753,0.14008386219266294,-0.6032444912572104,2.7647302553236318e-05,0.0007754606649393407,-0.7975559426549421,-0.09626476667990948,-0.0013904071738190496,0.003723101295415638,-0.0051651240482897265,-0.0025612762556193047,-0.03391796235518996,1373,247000000
0.0,0.0,0.0,0.06616714120385472,-2.1768603770245196,0.14010312847970077,-0.6044453920380375,8.250988786357311e-05,0.0010578754845039975,-0.7966458699670518,-0.08609444598115702,-0.006689294844093708,0.0019067646379717289,-0.00500569863106648,-0.0025445531491641304,-0.027489128297020216,1373,339000000
0.0,0.0,0.0,0.06861868341397433,-2.182940930183783,0.14007992745201125,-0.6052560498356878,0.00012390384690890344,0.0012736842711519184,-0.7960298213719845,-0.0778985325374956,-0.010981332896634962,0.002461385055683847,-0.004764972527482314,-0.0024114209054459934,-0.024075469627860002,1373,438000000
0.0,0.0,0.0,0.07255801099776367,-2.190734660940401,0.13998699490839028,-0.6061597185547095,0.0001887237883547681,0.0015819868740890412,-0.7953413464057663,-0.06589915896158405,-0.017155335916306184,-0.0033838782406867434,-0.00459211601082643,-0.002148155749637226,-0.014979652314650593,1373,535000000
0.0,0.0,0.0,0.07608674083622259,-2.196051141440973,0.14006728866537718,-0.6066404783979846,0.00024422328543602064,0.0018196495810931914,-0.7949741877567178,-0.05636777829752522,-0.022232230358832372,0.0011685357610400104,-0.004223694350002916,-0.0018955924474539643,-0.010150156958843581,1373,646000000
0.0,0.0,0.0,0.07984823784227826,-2.2003514964581528,0.14000110995649692,-0.6069793338910526,0.0002977730604775138,0.002030082267274712,-0.7947149667184873,-0.04744972164146728,-0.02709597515138268,-0.0035669539322350586,-0.0036698618259833893,-0.0015721914564892359,-0.007144489200072712,1373,739000000
0.0,0.0,0.0,0.08383773129059048,-2.2037068368130086,0.1400599861092507,-0.6071180647002412,0.00034034808639323455,0.0021966324812203743,-0.7946085290780336,-0.039236706366926576,-0.03173730196601354,0.0022685146670020093,-0.0029310953095773584,-0.0011685639719871688,-0.0010289970020949113,1373,849000000
0.0,0.0,0.0,0.08806479538465659,-2.206197400175409,0.14004441339817014,-0.6070785137922813,0.00038684294824079164,0.0023321850507137354,-0.7946383387159074,-0.03189337685202414,-0.036221856651301045,-0.0019811049235075448,-0.0024706611156943836,-0.0007176900965077948,0.0024414204972345033,1373,949000000
0.0,0.0,0.0,0.09162427305989575,-2.207624559963649,0.1400122545219026,-0.6069316635843423,0.0004168504082983817,0.002404168979769661,-0.7947502764680214,-0.026669568261985944,-0.03972746761293859,-0.0034394348523766162,-0.0016371838569284591,-0.0003237937988842532,0.0060826525441370904,1374,44000000
